review_id,review_text,sentiment
1,"Tento produkt je úžasný a veľmi užitočný!",1
2,"Som sklamaný z kvality tohto produktu.",0
3,"Výborne funguje, odporúčam!",1
4,"Nevydrží dlho, nie je to stojí za peniaze.",0
5,"Excelentná kvalita za rozumnú cenu.",1
6,"Produkt neprišiel včas a bol poškodený.",0
7,"Veľmi spokojný s nákupom!",1
8,"Hrozná zákaznícka podpora a produkt nezodpovedá popisu.",0
9,"Výborný nákup, produkt presne ako je popísaný.",1
10,"Úplne nevhodný, vrátil som ho.",0
11,"Toto je to najlepšie, čo som kedy použil.",1
12,"Za túto cenu lepšie nenájdete.",1
13,"Produkt je úplne zbytočný a nefunkčný.",0
14,"Nad moje očakávania, veľmi dobre!",1
15,"Má to veľa chýb, nekupujte to.",0
16,"Skvelý produkt, používam ho každý deň.",1
17,"Toto je najhorší nákup aký som kedy urobil.",0
18,"Veľmi odporúčam, skvelá kúpa.",1
19,"Zlá kvalita, rýchlo sa pokazil.",0
20,"Neuveriteľne dobré, maximálna spokojnosť.",1
21,"Produkt nie je ako bol inzerovaný, veľké sklamanie.",0
22,"Výnimočný produkt, funguje presne ako má.",1
23,"Bol to strata peňazí.",0
24,"Veľmi spokojný, kvalitný produkt.",1
25,"Nepáčil sa mi, neodporúčam.",0
26,"To najlepšie, čo som kúpil za dlhú dobu!",1
27,"Produkt prišiel rozbitý a predajca neodpovedá.",0
28,"Excelentná hodnota, určite by som kúpil znova.",1
29,"Je to veľké sklamanie, očakával som viac.",0
30,"Úžasný produkt, veľmi užitočný a efektívny.",1
31,"Som veľmi spokojný s týmto nákupom, produkt je skvelý.",1
32,"Nevyhovuje môjmu očakávaní, zbytočne minuté peniaze.",0
33,"Perfektný produkt, vrelo odporúčam každému.",1
34,"Tento produkt ma veľmi sklamal.",0
35,"Je to úžasné, ako tento produkt funguje.",1
36,"Úplný odpad, nič nepracuje ako malo.",0
37,"Veľká spokojnosť, doporučujem.",1
38,"Neodporúčam, má veľa technických problémov.",0
39,"Toto je jedno z najlepších riešení na trhu.",1
40,"Vrátil som ho deň po doručení, veľmi zlá skúsenosť.",0
41,"Prekvapivo dobrý produkt, funkčný a pekný dizajn.",1
42,"Kvalita je podpriemerná, očakával som viac.",0
43,"Som nadšený, ako tento produkt zlepšil môj život.",1
44,"Neodpovedá popisu, veľké sklamanie.",0
45,"Fantastický produkt, presahuje očakávania.",1
46,"Doručený v poškodenom stave, veľmi frustrujúce.",0
47,"Má skvelé funkcie a ľahko sa používa.",1
48,"Toto je podvod, produkt je úplne iný ako inzerovaný.",0
49,"Celkovo vynikajúca kvalita a hodnota.",1
50,"Úplné sklamanie, nekúpil by som znova.",0
51,"Dobrá cena a kvalita, som veľmi spokojný.",1
52,"Produkt prišiel neskoro a nefunguje správne.",0
53,"Úžasný produkt, funguje presne ako sľúbili.",1
54,"Nespĺňa moje očakávania, chýba mu kvalita.",0
55,"Tento produkt je revolučný, doporučil by som ho každému.",1
56,"Bol to strata času a peňazí, veľmi zle.",0
